  НАЗВАНИЕ ЖИВОТНОГО		НАЗВАНИЕ ВИДА		          
Волк		    	|	крупные хищники
Рысь 		    	|	крупные хищники
Барсук 		    	|	крупные хищники
Енотовидная собака  	|	крупные хищники
Выдра		    	|	крупные хищники
Барсук		    	|	крупные хищники
Зубр		    	|	крупные хищники
Лесная куницы	    	|	мелкие хищники
Американская норка  	|	мелкие хищники
Хорь		    	|	мелкие хищники
Горностай	    	|	мелкие хищники
Ласка		    	|	мелкие хищники
Лиса		    	|	мелкие хищники
Лось		    	|	мелкие хищники
Куница		    	|	мелкие хищники
Бурый медведь 	    	|	мелкие хищники
Косуля		    	|	мелкие хищники
Белка		    	|	мелкие хищники
Заяц-русак	    	|	мелкие хищники
Бобр		    	|	мелкие хищники
Олень		    	|	мелкие хищники
Ёж		    	|	насекомоядные млекопитающие
Крот		    	| 	насекомоядные млекопитающие
Бурозубка 	    	|	насекомоядные млекопитающие
Кутора		    	|	насекомоядные млекопитающие
Дикий кабан 	    	| 	насекомоядные млекопитающие
Землеройка	    	|	насекомоядные млекопитающие
Ушастый ёж	    	|	насекомоядные млекопитающие
Усач дубовый	    	|  	насекомые
Рогач обыкновенный  	|	насекомые
Аполлон		    	|	насекомые
Переливница большая 	|	насекомые   
Шмель-шахтер	    	|	насекомые   
Муравей рыжий	    	|	насекомые   
Комары-долгоножки   	|	насекомые   
Толстоножка зеленая    	|	насекомые 
Бронзовка обыкновенная	| 	насекомые  
Пчела медоносная      	|	насекомые 
Мухоловка рогатая	|	насекомые 
Мошка речная		|	насекомые 
Майский жук		|	насекомые 
Божья коровка		|	насекомые 
Жук-плавунец		|	насекомые 
Камышовый кузнечик	|	насекомые 
Светляк обыкновенный	|	насекомые 
Пчела-плотник		|	насекомые 
Жук-пожарник		|	насекомые 
Жук-носорог		|	насекомые 
